DENSITY,GLASNO,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,Li2O,MgO,ZRO2,FemOn,"Somme (Si, B, Na, Ca, Al, Zr, K, Li, Mg, Fe)"
2.32,20433,40.23,0,43.36,0,0,16.4,0,0,0,0,99.99
2.32,20434,39.24,0,42.3,0,7.15,11.29,0,0,0,0,99.98
2.31,20435,38.58,0,41.58,0,11.95,7.86,0,0,0,0,99.97
2.31,20436,38.12,0,41.09,0,15.29,5.48,0,0,0,0,99.98
2.31,20437,37.76,0,40.7,0,17.9,3.62,0,0,0,0,99.98
2.3,20438,37.41,0,40.32,0,20.46,1.79,0,0,0,0,99.98
2.3,20439,37.06,0,39.95,0,22.97,0,0,0,0,0,99.98
2.45,20440,32.66,0,43.26,0,0,24.07,0,0,0,0,99.99
2.45,20441,31.87,0,42.2,0,7.13,18.78,0,0,0,0,99.98
2.45,20442,31.11,0,41.19,0,13.93,13.75,0,0,0,0,99.98
2.44,20443,30.38,0,40.24,0,20.41,8.95,0,0,0,0,99.98
2.44,20444,30.03,0,39.77,0,23.54,6.63,0,0,0,0,99.97
2.43,20445,29.69,0,39.32,0,26.6,4.37,0,0,0,0,99.98
2.42,20446,29.36,0,38.88,0,29.59,2.16,0,0,0,0,99.99
2.42,20447,29.36,0,38.88,0,29.59,2.16,0,0,0,0,99.99
2.42,20448,29.03,0,38.45,0,32.51,0,0,0,0,0,99.99
2.48,20449,24.86,0,43.15,0,0,31.98,0,0,0,0,99.99
2.47,20450,23.87,0,41.43,0,11.63,23.05,0,0,0,0,99.98
2.47,20451,23.42,0,40.65,0,16.91,19,0,0,0,0,99.98
2.46,20452,22.94,0,39.83,0,22.5,14.71,0,0,0,0,99.98
2.45,20453,22.27,0,38.65,0,30.46,8.6,0,0,0,0,99.98
2.45,20454,21.68,0,37.64,0,37.31,3.35,0,0,0,0,99.98
2.45,20455,21.31,0,37,0,41.67,0,0,0,0,0,99.98
2.17,144578,72.58,0,22.42,0,0,4.99,0,0,0,0,99.99
2.22,144579,70.6,0,22.41,0,0,6.98,0,0,0,0,99.99
2.27,144580,68.62,0,22.39,0,0,8.97,0,0,0,0,99.98
2.32,20456,66.65,0,22.38,0,0,10.96,0,0,0,0,99.99
2.31,20457,65.8,0,22.09,0,3.73,8.36,0,0,0,0,99.98
2.31,20458,64.97,0,21.82,0,7.38,5.82,0,0,0,0,99.99
2.31,20459,64.32,0,21.6,0,10.22,3.84,0,0,0,0,99.98
2.31,20460,63.68,0,21.38,0,13.02,1.9,0,0,0,0,99.98
2.3,20461,63.06,0,21.17,0,15.76,0,0,0,0,0,99.99
2.38,20462,64.68,0,22.37,0,0,12.94,0,0,0,0,99.99
2.38,20463,63.04,0,21.8,0,7.37,7.76,0,0,0,0,99.97
2.37,20464,62.41,0,21.59,0,10.22,5.76,0,0,0,0,99.98
2.36,20465,61.8,0,21.37,0,13.01,3.8,0,0,0,0,99.98
2.36,20466,61.19,0,21.16,0,15.75,1.88,0,0,0,0,99.98
2.35,20467,60.6,0,20.96,0,18.43,0,0,0,0,0,99.99
2.39,20468,62.71,0,22.35,0,0,14.92,0,0,0,0,99.98
2.39,20469,61.13,0,21.79,0,7.37,9.7,0,0,0,0,99.99
2.39,20470,60.37,0,21.52,0,10.92,7.18,0,0,0,0,99.99
2.39,20471,59.62,0,21.25,0,14.38,4.73,0,0,0,0,99.98
2.38,20472,58.9,0,21,0,17.75,2.33,0,0,0,0,99.98
2.38,20473,58.19,0,20.74,0,21.05,0,0,0,0,0,99.98
2.42,20474,60.74,0,22.34,0,0,16.9,0,0,0,0,99.98
2.42,20475,59.21,0,21.78,0,7.36,11.63,0,0,0,0,99.98
2.41,20476,58.18,0,21.4,0,12.3,8.09,0,0,0,0,99.97
