DENSITY,GLASNO,"SOMME (SI, B, NA, CA, AL, ZR, K, LI, MG, FE)",Al_calc,O_calc,B_calc,Ca_calc,K_calc,Li_calc,Mg_calc,Na_calc,Si_calc,Zr_calc,Fe_calc
2.36,123519,100.0,0.0,65.05907895455174,25.464521689169782,0.0,0.0,4.635802014658144,4.836395891226677,0.0,0.0,0.0,0.0
2.36,123520,99.99,0.0,64.75602819410295,25.13224073542086,0.0,0.0,4.682252936648706,5.415316097657801,0.0,0.0,0.0,0.0
2.38,123521,100.0,0.0,64.46844832060061,24.78443263430049,0.0,0.0,4.803025333824169,5.939962534736006,0.0,0.0,0.0,0.0
2.47,41287,99.95,0.62980833654926,46.92294647566185,0.07142487790864695,4.066619469657793,0.7720374325873711,0.0,2.2855287316395394,10.816271060197808,34.35663820651088,0.0,0.027977230457081666
2.39,20208,100.0,10.288633665981191,48.810094219137596,0.0,0.0,0.0,0.0,0.0,8.76874649736201,32.1316368750416,0.0,0.0
2.59,20238,99.99,26.700697965470734,50.13145492987838,0.0,0.0,0.0,0.0,0.0,0.0,23.156841588442845,0.0,0.0
2.49,20282,99.98,12.00340594364472,42.70371494748842,0.0,4.4525552365497445,17.39159592764024,0.0,0.0,0.0,23.427955196058846,0.0,0.0
2.49,20283,99.97,12.178058675628971,43.322799867416826,0.0,4.51687786436507,14.112512208586352,0.0,0.0,2.0697802646057535,23.769184391851407,0.0,0.0
2.51,20284,99.98,12.358003914643046,43.96464523894792,0.0,4.588347450826542,10.742112234065141,0.0,0.0,4.20632763452137,24.11976233273417,0.0,0.0
2.51,20285,99.97,12.543241660686943,44.62014801984281,0.0,4.652670078641868,7.263793048537093,0.0,0.0,6.40964210974685,24.479689018707138,0.0,0.0
2.51,20286,99.98,12.929594673864221,46.00043906450058,0.0,4.795609251564813,0.0,0.0,0.0,11.016572376127398,25.236937371013912,0.0,0.0
2.36,20371,99.98,0.0,48.68105354053915,0.0,0.0,10.526273812051468,5.727398681436364,0.0,0.0,35.0437709706411,0.0,0.0
